name,id,stream_url
Abu Dhabi Sports 2 Premium,610,https://dami-tv.pro/papi/tv/playlist/aHR0cHM6Ly9jaGF0LmNmYnUyNDcuc2JzL2FwaS9wcm94eS9wbGF5bGlzdD90b2tlbj1leUpqYUdGdWJtVnNTV1FpT2lJMk1UQWlMQ0owY3lJNk1UYzRNREEyTnprd01EYzJOMzA
Astro Cricket,370,https://dami-tv.pro/papi/tv/playlist/aHR0cHM6Ly9jaGF0LmNmYnUyNDcuc2JzL2FwaS9wcm94eS9wbGF5bGlzdD90b2tlbj1leUpqYUdGdWJtVnNTV1FpT2lJek56QWlMQ0owY3lJNk1UYzRNREEyTnprd016WXhObjA
Antena 3 Spain,531,https://dami-tv.pro/papi/tv/playlist/aHR0cHM6Ly9jaGF0LmNmYnUyNDcuc2JzL2FwaS9wcm94eS9wbGF5bGlzdD90b2tlbj1leUpqYUdGdWJtVnNTV1FpT2lJMU16RWlMQ0owY3lJNk1UYzRNREEyTnprd05qVTNOMzA
Arena Sports Tenis Serbia,612,https://dami-tv.pro/papi/tv/playlist/aHR0cHM6Ly9jaGF0LmNmYnUyNDcuc2JzL2FwaS9wcm94eS9wbGF5bGlzdD90b2tlbj1leUpqYUdGdWJtVnNTV1FpT2lJMk1USWlMQ0owY3lJNk1UYzRNREEyTnprd09UZzVNMzA
ACC Network USA,664,https://dami-tv.pro/papi/tv/playlist/aHR0cHM6Ly9jaGF0LmNmYnUyNDcuc2JzL2FwaS9wcm94eS9wbGF5bGlzdD90b2tlbj1leUpqYUdGdWJtVnNTV1FpT2lJMk5qUWlMQ0owY3lJNk1UYzRNREEyTnpreE16RTBNWDA
Adult Swim,295,https://dami-tv.pro/papi/tv/playlist/aHR0cHM6Ly9jaGF0LmNmYnUyNDcuc2JzL2FwaS9wcm94eS9wbGF5bGlzdD90b2tlbj1leUpqYUdGdWJtVnNTV1FpT2lJeU9UVWlMQ0owY3lJNk1UYzRNREEyTnpreE5qTTJNbjA
A Sport PK,269,https://dami-tv.pro/papi/tv/playlist/aHR0cHM6Ly9jaGF0LmNmYnUyNDcuc2JzL2FwaS9wcm94eS9wbGF5bGlzdD90b2tlbj1leUpqYUdGdWJtVnNTV1FpT2lJeU5qa2lMQ0owY3lJNk1UYzRNREEyTnpreE9UZzBNSDA
AXN Movies Portugal,717,https://dami-tv.pro/papi/tv/playlist/aHR0cHM6Ly9jaGF0LmNmYnUyNDcuc2JzL2FwaS9wcm94eS9wbGF5bGlzdD90b2tlbj1leUpqYUdGdWJtVnNTV1FpT2lJM01UY2lMQ0owY3lJNk1UYzRNREEyTnpreU5ERTJPWDA
Arte DE,725,https://dami-tv.pro/papi/tv/playlist/aHR0cHM6Ly9jaGF0LmNmYnUyNDcuc2JzL2FwaS9wcm94eS9wbGF5bGlzdD90b2tlbj1leUpqYUdGdWJtVnNTV1FpT2lJM01qVWlMQ0owY3lJNk1UYzRNREEyTnpreU56TTNOMzA
AXS TV USA,742,https://dami-tv.pro/papi/tv/playlist/aHR0cHM6Ly9jaGF0LmNmYnUyNDcuc2JzL2FwaS9wcm94eS9wbGF5bGlzdD90b2tlbj1leUpqYUdGdWJtVnNTV1FpT2lJM05ESWlMQ0owY3lJNk1UYzRNREEyTnprek1EazFPWDA
